Procedure,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,P13,V14,P15,V16,P17,V18,P19,V20,P21
Informed Assent/Consent,X,,,,,,,,,,,,,,,,,,,,
Demographyd,X,,,,,,,,,,,,,,,,,,,,
Medical History/Concomitant Illness,X,,,,,,,,,,,,,,,,,,,,
Weight History,X,,,,,,,,,,,,,,,,,,,,
Concomitant Medication,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
"Tobacco, Nicotine and e-cigarettes Status",X,,,,,,,,,,,,,,,,,,,,
Childbearing Potentiale,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Contraceptive Counsellingf,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,,X,
Pregnancy Testf,X,X,,,X,,,X,X,X,X,X,,X,,X,,X,,X,
Date of Menarcheg,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Pubertal Status (Tanner),X,,,,,,X,,X,,,X,,,,,,X,,,
Eligibility Criteria,X,X,,,,,,,,,,,,,,,,,,,
Enrolment,,X,,,,,,,,,,,,,,,,,,,
Evaluation of Glycaemic Status,,X,,,,,X,,X,,,X,,,,,,X,,,
Procedures Form,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Socioeconomic Status (SES),,X,,,,,,,,,,,,,,,,,,,
Living with parents/LAR,,X,,,,,,,,,,X,,,,,,,,,
Allocation to Maintenance Phase Grouph,,,,,,,,,,,,X,,,,,,,,,
Discontinuation Criteria,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Body Weight,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,,X,
Height,X,X,,,X,,X,,X,X,X,X,,X,,X,,X,,X,
Waist Circumference,,X,,,,,X,,X,,,X,,,,,,X,,,
DXA Scani,X,,,,,,,,,,,X,,,,,,,,,
Biosamples for Future Researchj,,X,,,,,X,,,,,X,,,,,,,,,
Mental Health Evaluationl,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
C-SSRS Baseline,X,,,,,,,,,,,,,,,,,,,,
C-SSRS Since Last Visit,,,,,,,,,X,,,X,,,,,,X,,,
Patient Health Questionnaire (PHQ-9),X,,,,,,,,X,,,X,,,,,,X,,,
Hunger Single-items,,X,,,,,X,,X,,,X,,X,,X,,X,,X,
Hand out paper Hunger Single-items,X,,,,,,,,,,,,,,,,,,,,
IWQOL-Kids,,X,,,,,,,X,,,X,,,,,,X,,,
PGI Status-IWQOL-Kids,,X,,,,,,,X,,,X,,,,,,,,,
PGI Change-IWQOL-Kids,,,,,,,,,X,,,X,,,,,,,,,
In-trial interviewp,,,,,,,,,,,,X,,,,,,,,,
Study App (e-dosing diary),,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,,X,
Diet and Physical Activity Counsellingq,,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,,X,
"Training in Trial Product, Pen-handling",,X,X,,X,,X,,X,,,X,,,,,,X,,,
Hand Out ID Card,X,,,,,,,,,,,,,,,,,,,,
Hand Out Direction for Use,,X,,,,,,,,,,X,,,,,,,,,
Hand Out Dose Reminder Card,,X,X,X,X,X,,,,,,,,,,,,,,,
Vital Signs,X,X,,,,,,,,,,X,,,,,,,,,
Physical Examination,X,,,,,,,,,,,,,,,,,,,,
Attend Visit Fasting,,X,,,,,X,,X,,,X,,,,,,X,,,
Laboratory Assessments,X,X,,,,,X,,X,,,X,,,,,,X,,,
Adverse Event,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
"Medication Error, Misuse and Abuse",,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
ECG,X,,,,,,,,,,,,,,,,,,,,
Dose Registration in eCRF,,X,,,,,,,,,,X,,X,,X,,X,,X,
Drug Dispensing,,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,,X,
Drug Accountability,,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,,X,
