Form Label,Form Name,Source,Is Form Dynamic?,Form Dynamic Criteria,V1,S1D-2,SxD-1,SxD1,SxD2,SxD3,SxD8,SxD15,SxD22,S10D-1,S10D1,S10D 2,S10D 3,S10D8,S10D1_1
InForm Screening,[SCR] - Non-repeating form,Library,No,,,,,,,,,,,,,,,,
Inform Enrollment (Enr),[ENR] - Non-repeating form,Library,No,,,,,,,,,,,,,,,,
Non-visit related (Consent),[ WITHDRAWAL_FUTURE_RESEARCH] Non-repeating form,Library,No,,,,,,,,,,,,,,,,
Informed Consent and Demography,[SUBJECT_INFO_2] - Non-repeating,New,Yes,Sex (at birth): Populated by RTSM. Item to trigger Childbearing potential form to appear if response = Female.,1,,,,,,,,,,,,,,
Non-Visit (Re-Consent),Non-Repeating Form,Library,No,,,,,,,,,,,,,,,,
Non-Visit (Re-Consent),[CONSENT_DATE_LEGAL],Library,No,,,,,,,,,,,,,,,,
Eligibility Criteria,[ELIG_CRIT_2] - Non-repeating,New,No,,,,,,,,,,,,,,,,
First Dose after Randomisation (Single IMP),[DOSAGE_1] - Non-repeating,New,Yes,Form to be dynamically triggered only for USA and Belgium subjects.,,,,,,,,,,,,,,,
Medical History/Concomitant Illness (MedHx/ConIll),[MEDHIST_MEDDRA1]- Non-Repeating form,New,No,,2,,,,,,,,,,,,,,
Concomitant Medication,α-glucosidase inhibitors [AGI],Library,No,,,,,,,,,,,,,,,,
Concomitant Medication,[CONCOM_MED_MEDDRA_1] – Repeating Form,New,No,,,,,,,,,,,,,,,,
"Tobacco, E-cigarettes and Nicotine Status",[ TOBACCO_STATUS SU] Non-repeating,Library,No,,3,,,,,,,,,,,,,,
Childbearing Potential,[CHILDBEAR_POTENTIAL] - Non-repeating form,Library,Yes,‘Is the subject of childbearing potential?’: Item to trigger PregX form to appear if response = Yes. PREG VIS form to appear if response is Yes,4,,,,,,,,,,,,,,
Childbearing Potential,"PREGLOG (non-visit related, repeating form) or",Library,Yes,‘Is the subject of childbearing potential?’: Item to trigger PregX form to appear if response = Yes. PREG VIS form to appear if response is Yes,5,,,,,,,,,,,,,,
Pregnancy Test (Preg),[PREGVIS] – Non-repeating form,Library,No,,6,,,,,,,,,,,,,,
Pregnancy Test_2,[PREGLOG] – Repeating form,Library,Yes,"InForm specific: Pregnancy (Preg) visit holding this repeating form to be dynamically triggered from the Childbearing Potential form if the response is Yes. Add edit check to ensure that when Date or Result or Specimen is complete, the rest are complete as well",,,,,,,,,,,,,,,
Contraceptive counselling (Contraceptive counselling),Non-repeating form,Library,Yes,"Dynamic to be added. If childbearing potential is Yes, then trigger this form",7,,,,,,,,,,,,,,
Body Measurements_1_1,[BODY_MEASUREMENT_1_1] – Non-repeating form,New,No,,,,,,,,,,,,,,,,
Body Measurements_2,[BODY_MEASUREMENT_2] – Non-repeating form,New,No,,,,,,,,,,,,,,,,
Body Measurements_3,[BODY_MEASUREMENT_3] – Non-repeating form,New,No,,,,,,,,,,,,,,,,
Body Measurements_1,[BODY_MEASUREMENT_1] – Non-repeating form,New,No,,8,,,,,,,,,,,,,,
Vital Signs,[VITAL_SIGN_SINGLE] - Non-repeating form,Library,No,,9,,,,,,,,,,,,,,
Physical Examination,[PHYSICAL_EXAM_4] – Non-repeating form,New,No,,10,,,,,,,,,,,,,,
Adverse Event,[AE] - Repeating form,Library,Yes,"Does this AE qualify as an event for adjudication? The event type selected is to trigger the availability of the adjudication event form of that event type. The values from AE_TYPE_CODE_C column in DMW are mapped to the NEVAS model in DMW, and they need to be these below for NEVAS to work, If oth...",,,,,,,,,,,,,,,
ECG,[ECG_2] - Non-repeating form,New,No,,11,,,,,,,,,,,,,,
Collection of Consent to Biosamples for Future Research,[ COLLECTION_FUTURE_RESEARCH] Non-repeating form,Library,No,,12,,,,,,,,,,,,,,
Date of Visit (DoV),[VISIT_DATE_DOV] - Non-repeating,Library,Yes,"Visit P13, P15, P17, P19, P21, P23 should trigger only for participants which are in the algorithm group.",13,,,,,,,,,,,,,,
DXA Scan (DXA Scan),Non-repeating,Library,Yes,Form to be dynamically triggered only for USA and Belgium subjects.,14,,,,,,,,,,,,,,
End of Study,[END_OF_TRIAL_2] - Non-repeating form,New,No,,,,,,,,,,,,,,,,
End of IMP Treatment,[END_OF_TREATMENT] - Non-repeating,Library,No,,,,,,,,,,,,,,,,
Dose during continued treatment phase,Non-repeating form,Library,No,,,,,,,,,,,,,,,,
Dose Tapering Algorithm,Non-repeating form,Library,No,,,,,,,,,,,,,,,,
Dose at the end of study,Non-repeating form,Library,No,,,,,,,,,,,,,,,,
